"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","40843","2.90","16988","3.25","101557","92.8%","57.1%","17939","58.6%","27362","58.5%","45301","58.5%","56500","55.9%","2.6pp"
"Agent Maria Hill","W","U","52035","3.57","16831","4.16","91732","83.8%","58.0%","16218","62.2%","23340","57.3%","39558","59.3%","52051","57.1%","2.2pp"
"Agent of Atlas","W","C","204449","5.80","36112","8.09","149964","64.7%","56.5%","26765","57.4%","36560","54.5%","63325","55.7%","86443","57.0%","-1.3pp"
"Agent Phil Coulson","W","R","8605","1.56","6404","1.55","39757","94.9%","58.2%","7051","67.0%","10823","61.0%","17874","63.4%","21984","54.1%","9.3pp"
"Agents of S.H.I.E.L.D.","W","C","204675","5.86","32789","8.37","124017","59.3%","55.6%","21616","55.2%","32163","55.7%","53779","55.5%","70221","55.8%","-0.3pp"
"Avengers Assemble!","W","M","3990","1.50","3081","1.47","19003","93.6%","58.5%","3233","62.8%","5112","64.9%","8345","64.1%","10661","54.0%","10.1pp"
"Borough Backup","W","C","173023","4.63","42509","6.09","234554","85.5%","57.2%","42434","56.2%","62273","59.1%","104707","57.9%","129867","56.7%","1.2pp"
"Brave Brawler","W","C","167529","4.46","39868","5.85","231368","90.0%","57.3%","41210","58.2%","61009","57.4%","102219","57.7%","129183","57.1%","0.7pp"
"Captain America, Super-Soldier","W","M","4133","1.47","2958","1.48","17745","93.5%","56.7%","3142","59.1%","4982","59.2%","8124","59.2%","9766","54.6%","4.6pp"
"Captain America, Wings of Freedom","W","R","8502","1.53","6213","1.53","37943","94.5%","58.1%","6773","62.6%","10484","60.6%","17257","61.4%","20849","55.4%","5.9pp"
"Captain Marvel, Earth's Protector","W","M","3445","1.26","3020","1.25","19728","95.9%","60.9%","3311","65.0%","5748","70.0%","9059","68.2%","10735","54.7%","13.5pp"
"Captain Mar-Vell, Space-Born","W","U","66829","4.64","9946","6.70","39310","62.7%","54.1%","6526","51.7%","10783","55.1%","17309","53.9%","22198","54.3%","-0.4pp"
"Colleen Wing, Street Samurai","W","U","67014","4.57","11397","6.40","46750","64.4%","55.0%","8302","56.4%","11553","53.8%","19855","54.9%","26871","55.0%","-0.2pp"
"Crowd of True Believers","W","C","224653","7.05","33579","9.94","74388","34.6%","56.2%","13091","57.4%","18086","54.7%","31177","55.9%","43232","56.4%","-0.5pp"
"Helicarrier Strike","W","C","167994","4.40","35432","6.00","194697","85.4%","56.4%","33533","55.2%","51994","57.9%","85527","56.9%","109186","56.0%","0.8pp"
"Hero in Training","W","C","117361","3.32","47574","3.78","294861","94.2%","58.7%","52218","59.5%","80960","61.2%","133178","60.6%","161044","57.2%","3.4pp"
"Invisible Woman, Sue Storm","W","U","75463","5.66","8215","8.68","13783","27.3%","49.1%","2197","42.7%","3474","47.9%","5671","45.9%","8135","51.2%","-5.4pp"
"Jennifer Walters","W","M","4015","1.46","3090","1.44","19345","94.4%","59.2%","3481","64.4%","5374","64.0%","8855","64.2%","10581","55.0%","9.1pp"
"Kree Commandos","W","C","222278","7.04","25471","10.61","31548","19.6%","52.5%","5465","50.3%","7871","51.9%","13336","51.3%","18269","53.5%","-2.2pp"
"Luke Cage, Power Man","W","U","76712","5.61","8921","8.52","20299","36.3%","52.4%","3440","49.9%","5140","52.3%","8580","51.3%","11777","53.1%","-1.8pp"
"The Mind Stone","W","M","5181","1.89","2642","1.92","13567","82.9%","54.7%","2405","57.3%","3633","55.2%","6038","56.0%","7531","53.6%","2.4pp"
"Mockingbird, Ace Agent","W","U","72713","5.23","8774","7.85","21256","38.9%","51.9%","3572","48.8%","5385","51.3%","8957","50.3%","12346","52.9%","-2.7pp"
"Monica Rambeau","W","M","3775","1.42","3035","1.40","18720","95.0%","57.7%","3342","61.0%","5156","63.9%","8498","62.8%","10201","53.4%","9.3pp"
"Murdock's Crusade","W","C","140405","3.88","38911","4.77","226729","89.4%","57.7%","38412","57.2%","61568","61.3%","99980","59.7%","126833","56.2%","3.6pp"
"Nick Fury, Agent of S.H.I.E.L.D.","W","R","27056","4.22","6066","5.46","23720","61.6%","55.9%","4194","56.9%","6004","56.1%","10198","56.5%","13489","55.6%","0.9pp"
"Night Nurse, Healer of Heroes","W","U","42522","2.86","16173","3.35","96338","93.0%","56.7%","16875","56.0%","25631","58.6%","42506","57.6%","53725","56.0%","1.6pp"
"Okoye, Dora Milaje Leader","W","U","48192","3.23","15497","3.85","88067","88.5%","56.8%","15136","57.2%","23590","59.0%","38726","58.3%","49201","55.7%","2.6pp"
"Origin of the Avengers","W","R","10957","1.91","5757","1.97","32802","90.6%","55.8%","5865","58.0%","8597","57.5%","14462","57.7%","18340","54.3%","3.4pp"
"Panther Pounce","W","C","224782","6.96","29822","10.21","53804","28.3%","54.1%","8883","50.5%","13719","56.3%","22602","54.0%","31211","54.2%","-0.2pp"
"Patriot, Shield Wielder","W","U","53940","3.59","15432","4.43","90032","91.1%","56.6%","16080","57.4%","23383","56.9%","39463","57.1%","50626","56.3%","0.8pp"
"Political Triumph","W","U","47811","3.39","15562","3.84","86855","86.4%","57.4%","15342","63.8%","22275","56.2%","37617","59.3%","49211","56.0%","3.2pp"
"Quake, Agent of S.H.I.E.L.D.","W","U","68677","4.68","11918","6.49","50283","66.3%","55.3%","8743","54.6%","12986","55.4%","21729","55.1%","28593","55.5%","-0.4pp"
"Raft Security Officer","W","C","173262","4.80","42026","6.19","233843","86.4%","57.3%","41574","56.8%","62404","57.5%","103978","57.2%","130434","57.2%","-0.0pp"
"Red Guardian, Super-Soldier","W","U","43038","2.94","14913","3.43","88467","92.0%","57.0%","15500","57.1%","23794","59.4%","39294","58.5%","49201","55.8%","2.7pp"
"The Sentry, Golden Guardian","W","R","13034","2.33","4158","2.44","20836","81.0%","53.3%","3638","51.6%","5732","53.6%","9370","52.8%","11599","53.3%","-0.4pp"
"S.H.I.E.L.D. Spy Kit","W","C","183309","5.32","39622","6.79","190743","74.9%","56.9%","33066","57.9%","49933","57.9%","82999","57.9%","107727","56.2%","1.7pp"
"Super Villain Lockup","W","U","38538","2.64","12275","3.15","71007","91.5%","55.3%","12086","54.4%","19013","57.5%","31099","56.3%","39913","54.5%","1.8pp"
"Super-Soldier Serum","W","R","17979","3.09","3419","3.77","14651","69.9%","52.4%","2500","52.4%","3755","54.4%","6255","53.6%","8400","51.4%","2.2pp"
"Take Up the Shield","W","C","163076","4.34","37089","5.79","207188","86.6%","56.9%","34701","55.4%","55331","60.3%","90032","58.4%","117203","55.7%","2.7pp"
"Wakandan Drone Flock","W","C","206862","5.91","37011","8.11","147243","61.8%","56.9%","25073","54.8%","40780","58.6%","65853","57.1%","82055","56.6%","0.5pp"
"Web Up","W","C","90793","2.58","39195","2.96","241286","95.1%","57.2%","41194","56.7%","66267","61.1%","107461","59.4%","133836","55.5%","3.9pp"
"White Widow, Free Agent","W","U","53950","3.57","12603","4.57","67933","85.0%","55.3%","11570","52.7%","18002","57.1%","29572","55.4%","38293","55.3%","0.1pp"
"Aerial Doombot","U","C","189182","5.22","35532","7.22","172647","76.2%","56.2%","30782","57.0%","47207","57.7%","77989","57.4%","94977","55.2%","2.2pp"
"A.I.M. Scientists","U","C","203225","5.61","38812","7.82","165470","66.5%","56.3%","30206","55.7%","46409","57.6%","76615","56.8%","89115","55.8%","1.1pp"
"Atlantean Cavalry","U","C","220307","7.04","28428","10.30","49969","28.1%","52.3%","8779","52.2%","14446","53.1%","23225","52.8%","26852","51.9%","0.9pp"
"Atlantis Attacks","U","C","195420","5.52","38443","7.56","165552","67.7%","56.0%","27367","53.0%","47062","59.0%","74429","56.8%","91234","55.4%","1.3pp"
"Attuma, Atlantean Warlord","U","U","77557","5.60","13011","7.75","37023","45.5%","53.9%","6253","54.5%","10764","55.1%","17017","54.9%","20212","52.9%","2.0pp"
"Bold Biochemist","U","C","200776","5.64","42186","7.58","206983","76.4%","57.0%","36891","55.3%","57772","58.7%","94663","57.4%","112547","56.6%","0.7pp"
"Bruce Banner","U","M","4997","1.88","3147","1.81","18286","91.5%","57.2%","3281","62.5%","5090","59.7%","8371","60.8%","9982","54.4%","6.4pp"
"Depower","U","C","218243","6.52","34408","9.29","93164","42.7%","55.1%","16012","53.3%","26076","57.8%","42088","56.1%","51095","54.2%","1.9pp"
"Echo, Perceptive Prodigy","U","U","77677","5.52","13569","7.59","49136","57.4%","54.3%","8548","51.0%","13444","54.0%","21992","52.9%","27201","55.4%","-2.5pp"
