"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Action News Crew","W","C","140168","6.15","20156","8.63","80009","60.1%","56.3%","14446","53.6%","17319","54.1%","31765","53.9%","48283","57.9%","-4.0pp"
"Agent Bishop, Man in Black","W","R","3178","1.51","2297","1.53","20310","93.6%","59.0%","3618","65.5%","5310","63.0%","8928","64.0%","11488","55.2%","8.9pp"
"April O'Neil, Kunoichi Trainee","W","C","106329","4.64","21849","5.92","124162","84.8%","57.9%","22779","59.5%","26784","56.5%","49563","57.9%","74621","58.0%","-0.1pp"
"Dimensional Exile","W","U","23950","2.85","8342","3.33","53429","90.2%","58.2%","9109","57.7%","12882","59.5%","21991","58.8%","31408","57.8%","1.0pp"
"East Wind Avatar","W","C","144739","6.65","16131","9.85","35645","33.7%","54.6%","6026","53.0%","8180","53.6%","14206","53.4%","21571","55.3%","-2.0pp"
"Featherbrained Filcher","W","U","40827","4.60","8698","5.63","42580","72.2%","57.7%","7808","60.5%","8937","54.6%","16745","57.3%","25846","58.0%","-0.7pp"
"Grounded for Life","W","C","118610","5.08","16472","7.28","73884","67.5%","56.5%","12424","55.0%","17603","56.4%","30027","55.8%","43857","57.0%","-1.2pp"
"Hamato Guardian Stance","W","C","156118","7.77","18676","11.11","25396","20.6%","57.4%","4285","54.7%","5580","56.9%","9865","55.9%","15538","58.2%","-2.3pp"
"High-Flying Ace","W","C","141482","6.35","17793","9.19","57075","48.6%","56.0%","9808","54.2%","13053","54.9%","22861","54.6%","34329","56.8%","-2.2pp"
"Jennika, Bad Apple Big Sister","W","C","147728","6.15","21223","8.77","80620","57.6%","57.1%","14125","55.3%","18723","56.6%","32848","56.0%","47819","57.8%","-1.7pp"
"Koya, Death from Above","W","U","30143","3.48","9900","4.03","60600","87.1%","58.2%","10364","56.8%","14579","59.7%","24943","58.5%","35684","58.0%","0.5pp"
"The Last Ronin's Technique","W","U","27940","3.30","8699","3.79","53846","88.2%","58.7%","9391","59.6%","12491","59.4%","21882","59.5%","31965","58.1%","1.4pp"
"Leader's Talent","W","R","4093","1.82","1839","1.91","13761","88.6%","55.1%","2325","55.0%","3249","55.9%","5574","55.5%","8177","54.8%","0.7pp"
"Leonardo, Big Brother","W","C","125078","5.14","19359","7.12","99971","78.1%","57.1%","17172","55.7%","22854","56.3%","40026","56.0%","60037","57.8%","-1.8pp"
"Leonardo, Cutting Edge","W","R","6689","2.38","2069","2.75","13278","86.5%","56.0%","2403","56.0%","3226","56.4%","5629","56.2%","7683","56.0%","0.2pp"
"Leonardo, Leader in Blue","W","U","28892","3.41","8152","4.05","51076","89.0%","58.4%","9274","62.3%","11582","56.8%","20856","59.2%","30244","57.8%","1.4pp"
"Leonardo, Sewer Samurai","W","M","2237","1.85","1123","1.98","9227","89.9%","58.4%","1516","59.4%","2336","62.3%","3852","61.1%","5420","56.4%","4.7pp"
"Leonardo's Technique","W","R","8362","3.14","1597","3.82","7891","69.5%","53.3%","1305","48.7%","1814","54.5%","3119","52.0%","4769","54.1%","-2.1pp"
"Lita, Little Orphan Amphibian","W","U","22871","2.81","7907","3.23","51031","90.0%","57.8%","9172","61.6%","11480","56.6%","20652","58.8%","30452","57.0%","1.8pp"
"Make Your Move","W","C","133028","5.89","15827","8.76","52059","50.0%","55.2%","8648","52.5%","12293","55.4%","20941","54.2%","31115","56.0%","-1.8pp"
"Mighty Mutanimals","W","U","18633","2.50","9391","2.69","68469","89.9%","60.1%","11821","66.3%","16649","64.1%","28470","65.0%","39985","56.6%","8.4pp"
"Prehistoric Pet","W","R","6792","2.66","2233","2.96","14435","83.5%","57.1%","2599","61.2%","3259","55.4%","5858","58.0%","8588","56.5%","1.5pp"
"Quintessential Katana","W","U","38380","4.42","7632","5.55","38224","74.9%","57.4%","6568","58.6%","8666","55.4%","15234","56.8%","22919","57.8%","-1.0pp"
"Sally Pride, Lioness Leader","W","R","3479","1.59","2544","1.60","22164","92.3%","61.4%","3774","69.0%","5751","70.4%","9525","69.8%","12591","55.0%","14.8pp"
"Triceraton Commander","W","M","2590","1.77","1548","1.84","12384","87.0%","58.0%","2152","60.3%","3079","63.1%","5231","62.0%","7165","55.1%","6.9pp"
"Turncoat Kunoichi","W","R","4716","2.03","2409","2.15","19311","89.7%","58.9%","3258","62.0%","4935","63.0%","8193","62.6%","11158","56.2%","6.4pp"
"Turtles Forever","W","R","16154","5.16","2121","7.76","2187","15.7%","54.3%","371","","537","51.0%","908","51.8%","1277","56.3%","-4.5pp"
"Uneasy Alliance","W","C","103784","4.38","20111","5.87","113011","83.9%","57.7%","19409","55.5%","26376","58.2%","45785","57.0%","67208","58.1%","-1.0pp"
"April O'Neil, Hacktivist","U","R","5271","2.25","3335","2.28","25899","93.1%","58.6%","4481","65.0%","7562","64.2%","12043","64.5%","14088","53.5%","11.0pp"
"April, Reporter of the Weird","U","U","55193","6.48","6490","9.43","8568","20.6%","49.8%","1558","47.0%","2328","51.4%","3886","49.6%","4702","50.0%","-0.4pp"
